country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,lat,lon
Russia,Praskoveya,51,2,1,1,36,1,0,1,51,2,44.745212,44.193819
Brazil,Presidente Dutra,41,1,1,1,5,1,1,1,41,1,-11.2959181,-41.9871566
Italy,Priolo Gargallo,66,2,1,1,39,1,2,1,66,2,37.1579298,15.1860285
Poland,Przasnysz,34,1,1,1,34,1,0,1,20,1,53.0190219,20.8804028
France,Punaauia,22,1,0,1,22,1,0,1,6,1,-17.5929204,-149.6063669
United States of America,Punta Gorda,54,2,1,1,14,1,11,1,54,2,26.9297836,-82.0453664
Germany,Puttlingen,62,2,1,1,35,1,3,1,62,2,49.287307,6.8827786
Belgium,Puurs,64,2,1,1,29,1,7,1,64,2,51.0762086,4.2817075
Russia,Pyatigorsk,54,2,1,1,41,1,1,1,54,2,44.039775,43.0706669
Egypt,Qalyub,142,3,3,1,89,2,9,1,142,3,30.178875,31.206436
China,Qinzhou,68,2,2,1,68,2,1,1,58,2,21.9647835,108.620787
Netherlands,Raalte,41,1,1,1,24,1,6,1,41,1,52.3874327,6.307848238791079
India,Radaur,158,4,3,1,139,3,1,1,158,4,30.0309855,77.1518216
Pakistan,Radhan,158,4,1,1,50,1,1,1,158,4,27.1775378,67.9512147
Republic of North Macedonia,Radovis,83,2,1,1,46,1,0,1,83,2,41.639832,22.4645893
France,Raismes,59,2,1,1,30,1,4,1,59,2,50.3916313,3.4823888
India,Rajgir,154,4,3,1,100,3,2,1,154,4,25.0299973,85.4207368
Italy,Ramacca,55,2,1,1,47,1,0,1,55,2,37.388048,14.692681
United States of America,Phoenix,72,2,1,1,4,1,23,1,72,2,33.4484367,-112.074141
India,Phulabani,161,4,2,1,71,2,0,1,161,4,20.50756595,84.22731067744127
Poland,Piaseczno,28,1,1,1,28,1,2,1,28,1,52.0747377,21.0270885
India,Pimpri,118,3,2,1,30,1,2,1,118,3,19.4606998,77.1457815
Brazil,Pindobacu,33,1,0,1,10,1,1,1,33,1,-10.7439121,-40.3619457
China,Pingyin,150,4,3,1,95,2,6,1,150,4,36.2894384,116.4503206
Brazil,Pinheiral,154,4,5,1,0,1,13,1,154,4,-22.5129436,-44.001435
India,Piravam,81,2,1,1,24,1,1,1,81,2,9.8733689,76.4922683
Colombia,Plato,67,2,1,1,16,1,2,1,67,2,9.7904163,-74.7820016
Romania,Poiana Mare,62,2,1,1,37,1,1,1,62,2,43.9193248,23.0649446
Russia,Polevskoy,31,1,1,1,31,1,0,1,17,1,56.442108,60.165859
France,Pontarlier,56,2,1,1,35,1,0,1,56,2,46.9040348,6.3546345
United States of America,Pontiac,77,2,2,1,22,1,15,1,77,2,42.6389216,-83.2910468
Indonesia,Pontianak,44,1,1,1,15,1,0,1,44,1,-0.0226903,109.3447488
Brazil,Porecatu,30,1,1,1,9,1,2,1,30,1,-22.753724,-51.37949
Finland,Pori,30,1,1,1,30,1,1,1,15,1,61.4865443,21.7968859
South Africa,Port Elizabeth,79,2,3,1,18,1,5,1,79,2,-33.9618359,25.6186512
United States of America,Port Neches,34,1,1,1,19,1,7,1,34,1,29.9913244,-93.9585067
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,2,1,1,20,1,5,1,51,2,51.5952353,-3.7824148
United States of America,Portales,77,2,1,1,34,1,0,1,77,2,34.1861922,-103.334397
United States of America,Post Falls,61,2,1,1,32,1,3,1,61,2,47.7110106,-116.9480877
Brazil,Pouso Alegre,32,1,1,1,7,1,2,1,32,1,-22.2343858,-45.9327241
China,Dalinghe,64,2,3,1,64,2,4,1,64,2,41.1741391,121.3537276
Russia,Dalnegorsk,29,1,0,1,29,1,0,1,25,1,44.559457,135.5759241
United Republic of Tanzania,Dar Es Salaam,51,2,1,1,23,1,0,1,51,2,-6.8160837,39.2803583
India,Darbhanga,247,5,3,1,162,4,1,1,247,5,26.156999,85.8995065
United States of America,Dayton,45,1,1,1,32,1,7,1,45,1,39.7589478,-84.1916069
Belgium,Deinze,36,1,1,1,25,1,3,1,36,1,50.9840526,3.5274017
Egypt,Dekernes,81,2,2,1,81,2,4,1,56,2,31.0783785,31.5990453
Haiti,Delmas,124,3,2,1,15,1,5,1,124,3,18.5518464,-72.2920071
United States of America,Deming,72,2,1,1,26,1,2,1,72,2,32.2627416,-107.7581979
United Kingdom of Great Britain and Northern Ireland,Denton,55,2,0,1,32,1,1,1,55,2,54.5653171,-1.6643175
United States of America,Destin,31,1,0,1,31,1,0,1,25,1,30.3935337,-86.4957834
Pakistan,Dhadar,157,4,1,1,89,2,0,1,157,4,29.4880699,67.6422752
India,Dharmapuri,60,2,1,1,31,1,1,1,60,2,12.1347988,78.1589864
Pakistan,Digri,153,4,1,1,40,1,0,1,153,4,25.1570717,69.1107851
Somalia,Dinsor,22,1,0,1,19,1,0,1,22,1,2.170478,42.840182
Philippines,Dipolog,30,1,1,1,17,1,0,1,30,1,8.5864062,123.3449371
Latvia,Dobele,44,1,1,1,34,1,0,1,44,1,56.6257485,23.277275
United States of America,Grandville,47,1,1,1,37,1,4,1,47,1,42.909598,-85.7630956
Netherlands,Grave,37,1,0,1,32,1,2,1,37,1,51.7596504,5.7411125
United States of America,Green Valley,44,1,1,1,14,1,8,1,44,1,40.4074718,-89.6429794
United States of America,Greendale,58,2,2,1,14,1,24,1,58,2,38.6953291,-90.31317
Poland,Grudziadz,37,1,0,1,33,1,0,1,37,1,53.47251195,18.761893676880046
Colombia,Guamo,89,2,3,1,3,1,6,1,89,2,4.0303906,-74.9679007
Italy,Guardiagrele,52,2,2,1,38,1,7,1,52,2,42.1954758,14.2197122
Chad,Guelengdeng,59,2,2,1,16,1,0,1,59,2,10.9203251,15.5467805
United Kingdom of Great Britain and Northern Ireland,Guildford,51,2,1,1,25,1,6,1,51,2,51.2356068,-0.5732063
Philippines,Guiset,66,2,1,1,26,1,1,1,66,2,15.7208747,120.7775143
Russia,Gukovo,38,1,1,1,38,1,0,1,13,1,48.0530303,39.9441925
United States of America,Havre De Grace,34,1,1,1,30,1,7,1,34,1,39.5491329,-76.095817
United States of America,Hazelwood,88,2,2,1,11,1,20,1,88,2,38.7761446,-90.3715909
Germany,Heddesheim,54,2,1,1,31,1,3,1,54,2,49.5054905,8.6024574
Germany,Heiligenhaus,44,1,1,1,28,1,3,1,44,1,51.32658,6.9710401
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,2,1,1,26,1,6,1,51,2,51.7511784,-0.472528
United States of America,Hicksville,67,2,2,1,15,1,23,1,67,2,40.7681926,-73.5238207
Brazil,Hidrolandia,42,1,1,1,5,1,2,1,42,1,-16.9671342,-49.22826
India,Gyanpur,189,4,2,1,99,2,1,1,189,4,28.8706551,78.6781061
Germany,Haiger,49,1,1,1,25,1,3,1,49,1,50.7420214,8.2039451
China,Hangzhou,203,5,5,1,203,5,5,1,151,4,30.2489634,120.2052342
Germany,Harrislee,35,1,0,1,32,1,0,1,35,1,54.8047109,9.3915374
United States of America,Harrison,90,2,1,1,25,1,2,1,90,2,40.9689871,-73.71263
India,Harur,67,2,1,1,26,1,1,1,67,2,12.0545748,78.4786186
Germany,Hasbergen,36,1,0,1,34,1,1,1,36,1,52.2414052,7.9625883
France,Haubourdin,48,1,1,1,28,1,4,1,48,1,50.6093554,2.9864421
United States of America,Taunton,41,1,1,1,28,1,10,1,41,1,41.9019257,-71.0931485
New Zealand,Tauranga,19,1,0,1,19,1,1,1,17,1,-37.6859006,176.167505
Tunisia,Tawzar,73,2,1,1,43,1,0,1,73,2,33.91968,8.13352
Viet Nam,Tay Ninh,45,1,0,1,18,1,1,1,45,1,11.3138286,106.0964769
Iran (Islamic Republic of),Taybad,170,4,1,1,43,1,0,1,170,4,34.74,60.7756
Italy,Teano,47,1,1,1,47,1,1,1,36,1,41.2510841,14.0671513
India,Tekkali,155,4,3,1,82,2,1,1,155,4,18.2025413,83.3939479
Brazil,Teodoro Sampaio,46,1,1,1,9,1,1,1,46,1,-12.3053855,-38.6408979
Mexico,Tepeaca,172,4,5,1,2,1,11,1,172,4,18.9680556,-97.9025
Mexico,Tequila,64,2,1,1,15,1,2,1,64,2,20.8821155,-103.8370907
Italy,Teramo,44,1,1,1,44,1,1,1,38,1,42.6612893,13.6983524
Viet Nam,Thai Nguyen,150,4,3,1,150,4,1,1,105,3,21.592477,105.8435398
China,Tianjin,142,3,4,1,113,3,9,1,142,3,39.1175488,117.1913008
Indonesia,Tidore,21,1,0,1,13,1,0,1,21,1,3.6029535,125.5045078
Romania,Timisoara,47,1,1,1,42,1,0,1,47,1,45.7538355,21.2257474
Tunisia,Tinjah,48,1,1,1,48,1,1,1,29,1,37.15964,9.7606
Philippines,Toboso,54,2,1,1,20,1,0,1,54,2,10.7169474,123.5135576
Japan,Tokorozawa,60,2,1,1,44,1,3,1,60,2,35.7994271,139.4687478
Mexico,Toluca,166,4,4,1,8,1,19,1,166,4,19.292545,-99.6569007
Brazil,Itapissuma,27,1,0,1,23,1,1,1,27,1,-7.767983,-34.897136
Brazil,Itarantim,23,1,1,1,7,1,1,1,23,1,-15.654591,-40.0601332
Brazil,Itumbiara,31,1,1,1,13,1,0,1,31,1,-18.4135862,-49.2172596
Mexico,Ixtaczoquitlan,88,2,3,1,13,1,9,1,88,2,18.8509737,-97.0625392
El Salvador,Izalco,90,2,2,1,22,1,9,1,90,2,13.7463972,-89.6750918
United Republic of Tanzania,Izazi,28,1,1,1,15,1,0,1,28,1,-7.2413753,35.7218788
Russia,Izberbash,51,2,1,1,38,1,0,1,51,2,42.5710804,47.862999
India,Jabalpur,170,4,1,1,38,1,0,1,170,4,23.1608938,79.9497702
Brazil,Jaguaquara,22,1,0,1,9,1,1,1,22,1,-13.5294974,-39.9693081
India,Jahanabad,168,4,4,1,168,4,1,1,156,4,26.7212912,76.9812226
Bulgaria,Jambol,40,1,1,1,40,1,0,1,32,1,42.483935,26.5105553
Poland,Jarocin,47,1,1,1,27,1,2,1,47,1,51.9739233,17.5011254
Philippines,Jasaan,59,2,1,1,32,1,0,1,59,2,8.6504031,124.7547085
Nigeria,Ilobu,133,3,4,1,23,1,3,1,133,3,7.8408473,4.4853735
Finland,Imatra,29,1,1,1,29,1,1,1,7,1,61.1923342,28.7716996
Brazil,Indaial,73,2,2,1,2,1,8,1,73,2,-26.8901747,-49.2416736
Philippines,Indang,50,1,0,1,24,1,0,1,50,1,14.1958306,120.8784148
Brazil,Itagi,25,1,0,1,9,1,1,1,25,1,-14.1627902,-40.0069366
Nigeria,Iseyin,90,2,3,1,18,1,2,1,90,2,7.9710106,3.5956141
Mexico,Isla,81,2,2,1,26,1,3,1,81,2,18.0276212,-95.5281332
Brazil,Itaitinga,29,1,0,1,20,1,1,1,29,1,-3.965768,-38.529763
Brazil,Itambe,21,1,0,1,8,1,1,1,21,1,-15.2435245,-40.6269506
Brazil,Itapemirim,44,1,1,1,16,1,1,1,44,1,-21.0105534,-40.8351239
South Sudan,Torit,65,2,1,1,12,1,0,1,65,2,4.4134473,32.5682244
Guatemala,Totonicapan,66,2,2,1,7,1,6,1,66,2,14.911838,-91.3599703
United States of America,Trenton,53,2,1,1,28,1,10,1,53,2,40.2203074,-74.7659
United States of America,Trujillo Alto,56,2,0,1,23,1,0,1,56,2,18.3542408,-66.007377
Ireland,Tullamore,57,2,1,1,26,1,3,1,57,2,53.270711649999996,-7.48416078738189
Turkey,Tunceli,62,2,0,1,35,1,0,1,62,2,39.1060641,39.5482693
Viet Nam,Tuyen Quang,167,4,4,1,167,4,1,1,107,3,21.7879695,105.217387
United States of America,Two Rivers,49,1,1,1,27,1,4,1,49,1,39.7168221,-123.3533476
United States of America,Tysons Corner,55,2,2,1,25,1,11,1,55,2,38.918592,-77.2314723
Russia,Tyukalinsk,34,1,1,1,34,1,0,1,32,1,55.870556,72.196617
India,Udupi,80,2,1,1,25,1,0,1,80,2,13.3419169,74.7473232
India,Umaria,163,4,2,1,92,2,0,1,163,4,23.5246558,80.8361408
United States of America,Willowbrook,126,3,4,1,3,1,36,1,126,3,38.1011995,-97.99180838443397
United States of America,Wilmette,63,2,2,1,9,1,22,1,63,2,42.0757315,-87.7193768
United States of America,Wolf Trap,53,2,2,1,27,1,10,1,53,2,38.9398329,-77.286094
United States of America,Woodhaven,86,2,2,1,38,1,10,1,86,2,42.1370519,-83.2451066
China,Wulanhaote,47,1,2,1,47,1,0,1,25,1,46.0698111,122.0873444
China,Xiangdong,78,2,2,1,25,1,7,1,78,2,27.6424851,113.727789
China,Xiaoweizhai,61,2,2,1,61,2,0,1,54,2,26.2292619,107.512855
China,Xushan,112,3,2,1,44,1,4,1,112,3,31.6119157,115.0948036
Peru,Yanacancha,27,1,0,1,6,1,1,1,27,1,-12.2010926,-75.3870256
China,Yancheng,155,4,3,1,155,4,2,1,151,4,29.6562752,104.0641012
Democratic Republic of the Congo,Yangambi,121,3,4,1,24,1,0,1,121,3,0.7658281,24.4733629
China,Yanggu,160,4,3,1,138,3,5,1,160,4,34.7052,11.4803
China,Yangliuqing,144,3,4,1,109,3,9,1,144,3,39.1414621,116.9960349
China,Yanji,69,2,2,1,48,1,0,1,69,2,42.9047508,129.50441
United States of America,Yankton,47,1,1,1,34,1,3,1,47,1,42.8712938,-97.3967011
Germany,Wenden,69,2,1,1,34,1,4,1,69,2,50.9691051,7.8733251
United States of America,West Carrollton City,84,2,3,1,9,1,24,1,84,2,39.668842,-84.253692
Belgium,Wetteren,64,2,1,1,32,1,6,1,64,2,51.0068804,3.8855494
Canada,Whitehorse,20,1,1,1,20,1,1,1,10,1,60.721571,-135.054932
Ireland,Wicklow,38,1,1,1,30,1,3,1,38,1,52.98109005,-6.045454598977604
Switzerland,Wil,59,2,1,1,27,1,3,1,59,2,47.5609977,8.1519962
Germany,Wildeshausen,67,2,1,1,30,1,5,1,67,2,52.897103,8.4364342
United States of America,Williamsport,75,2,2,1,13,1,16,1,75,2,41.2493292,-77.0027671
United States of America,Fox Lake,60,2,2,1,18,1,21,1,60,2,42.3966874,-88.1836965
Brazil,Foz Do Iguacu,22,1,1,1,13,1,0,1,22,1,-25.5304023,-54.5830692
Denmark,Frederikssund,36,1,1,1,36,1,0,1,25,1,55.8417752,12.063595
United States of America,Friendly,41,1,1,1,30,1,8,1,41,1,39.5159085,-81.0592766
Germany,Fuldatal,44,1,1,1,28,1,2,1,44,1,51.3781639,9.533699
Japan,Furano,29,1,1,1,26,1,1,1,29,1,43.3419744,142.383188
China,Fuzhou,168,4,3,1,168,4,5,1,99,2,27.9511188,116.3530413
United Kingdom of Great Britain and Northern Ireland,Galashiels,25,1,1,1,25,1,3,1,23,1,55.616418,-2.8070791
Germany,Gangelt,41,1,1,1,26,1,4,1,41,1,50.9928407,5.997057
Germany,Garbsen,36,1,0,1,33,1,1,1,36,1,52.4276606,9.6005102
Cameroon,Garoua,59,2,2,1,12,1,0,1,59,2,9.3070698,13.3934527
Somalia,Garowe,98,2,0,1,17,1,0,1,98,2,8.406143,48.483195
Netherlands,Geertruidenberg,35,1,0,1,33,1,2,1,35,1,51.6961662,4.877843805275408
Australia,Geraldton,29,1,0,1,29,1,0,1,13,1,-28.77035,114.6147159
Germany,Germersheim,51,2,1,1,29,1,3,1,51,2,49.2222749,8.36659
Colombia,Girardot,103,3,4,1,9,1,6,1,103,3,4.306643,-74.8015665
Russia,Glubokiy,35,1,1,1,35,1,0,1,17,1,48.5245462,40.3261435
United Kingdom of Great Britain and Northern Ireland,Golborne,35,1,1,1,30,1,4,1,35,1,53.4756118,-2.5994277
Portugal,Gondomar,27,1,0,1,27,1,2,1,21,1,41.1398199,-8.5326269
Russia,Goryachevodskiy,48,1,1,1,39,1,1,1,48,1,44.02361,43.09222
India,Govindgarh,307,6,1,1,45,1,0,1,307,6,27.2477622,75.6513941
Côte d'Ivoire,Grand Lahou,54,2,1,1,25,1,0,1,54,2,5.244259,-5.003462
United States of America,Hoffman Estates,61,2,2,1,26,1,16,1,61,2,42.0427256,-88.0792782
Sweden,Hoganas,36,1,1,1,36,1,1,1,30,1,56.2008565,12.5515849
United States of America,Holly Springs,42,1,1,1,42,1,2,1,37,1,34.76801,-89.4478784
Germany,Holzminden,42,1,0,1,32,1,1,1,42,1,51.828835,9.4466591
China,Huaicheng,151,4,4,1,45,1,4,1,151,4,33.5380122,119.1324859
Ethiopia,Huruta,102,3,1,1,23,1,0,1,102,3,8.148683,39.3534724
Nigeria,Idanre,115,3,3,1,24,1,2,1,115,3,7.109769,5.1164416
Italy,Iglesias,64,2,1,1,53,2,1,1,64,2,39.3125402,8.5341109
Germany,Ihlow,40,1,1,1,30,1,2,1,40,1,51.8678267,13.3381237
Japan,Iizuka,45,1,1,1,45,1,0,1,38,1,33.646594,130.6911579
Thailand,Sungai Kolok,65,2,1,1,34,1,0,1,65,2,6.0229548,101.9634532
Indonesia,Sungaipenuh,17,1,1,1,13,1,0,1,17,1,-2.067892,101.402484
Russia,Suvorovskaya,52,2,1,1,39,1,1,1,52,2,48.236485,43.043102
Japan,Suzu,69,2,1,1,69,2,1,1,60,2,37.438147,137.2484135
Poland,Swiecie,44,1,1,1,33,1,1,1,44,1,53.4072518,18.4455253
Hungary,Szeged,50,1,1,1,41,1,1,1,50,1,46.2546312,20.1486016
Hungary,Szerencs,72,2,1,1,42,1,1,1,72,2,48.1633851,21.2010881
Tunisia,Taburbah,49,1,1,1,49,1,1,1,32,1,36.8252277,9.7838751
India,Tadepallegudem,127,3,2,1,65,2,1,1,127,3,16.8165294,81.5296984
Iran (Islamic Republic of),Tafresh,125,3,2,1,125,3,1,1,82,2,34.69307,50.01601
Philippines,Tagaytay,41,1,1,1,25,1,1,1,41,1,14.1031439,120.9320545
Japan,Tajimi,52,2,1,1,34,1,3,1,52,2,35.3329961,137.1319459
Japan,Takahagi,47,1,1,1,47,1,1,1,44,1,36.7199765,140.7158414
Japan,Takahashi,36,1,1,1,36,1,3,1,34,1,34.7908975,133.6169111
India,Tal,155,4,1,1,39,1,0,1,155,4,24.9187834,75.2316928
Philippines,Talacogon,37,1,1,1,19,1,0,1,37,1,8.4486711,125.7861565
Russia,Taldom,46,1,1,1,27,1,1,1,46,1,56.730941,37.528016
Kazakhstan,Talgar,69,2,1,1,42,1,0,1,69,2,43.3027233,77.2395288
United States of America,Tamiami,64,2,1,1,18,1,12,1,64,2,25.7587114,-80.3983871
Israel,Tamra,92,2,2,1,52,2,8,1,92,2,32.8534876,35.1978748
Japan,Tanashi,58,2,1,1,43,1,3,1,58,2,35.7287951,139.5400411
Romania,Tandarei,41,1,1,1,41,1,0,1,38,1,44.6419986,27.6530653
Philippines,Tantangan,35,1,1,1,20,1,0,1,35,1,6.6191395,124.748923
Indonesia,Tarogong,88,2,2,1,53,2,1,1,88,2,-7.1900014,107.8898516
Turkey,Tatvan,45,1,0,1,45,1,0,1,43,1,38.4931961,42.2878112
India,Yaval,102,3,1,1,38,1,0,1,102,3,21.16753,75.69761
United Kingdom of Great Britain and Northern Ireland,Yeovil,58,2,1,1,24,1,7,1,58,2,50.9420451,-2.6318629
China,Yuanping,143,3,2,1,35,1,5,1,143,3,31.440451,106.8919763
China,Yuncheng,187,4,2,1,36,1,8,1,187,4,35.027637,111.002141
Poland,Zambrow,35,1,1,1,35,1,0,1,17,1,52.98552,22.24117
Poland,Zamosc,48,1,1,1,35,1,1,1,48,1,50.7170854,23.2525711
Belgium,Zaventem,58,2,1,1,29,1,6,1,58,2,50.8806207,4.4730008
Belgium,Zemst,65,2,1,1,27,1,8,1,65,2,50.9842166,4.4650814
China,Zhaozhou,73,2,2,1,66,2,0,1,73,2,45.7069347,125.2669799
China,Zhicheng,160,4,4,1,36,1,13,1,160,4,32.0071389,107.4708366
China,Zhongshan,98,2,3,1,33,1,9,1,98,2,22.5196895,113.3870834
China,Zhuji,156,4,4,1,45,1,10,1,156,4,25.1962426,114.3579048
Mexico,Zimatlan,75,2,2,1,9,1,6,1,75,2,16.933056,-97.830833
Mexico,Zinacantepec,163,4,4,1,8,1,18,1,163,4,19.2844909,-99.7350408
Russia,Zmeinogorsk,35,1,1,1,35,1,0,1,21,1,51.1544658,82.1979928
Netherlands,Aalburg,30,1,0,1,30,1,2,1,29,1,51.7564268,5.1282689
Spain,Abaran,47,1,1,1,21,1,2,1,47,1,38.2058512,-1.3971219
Italy,Abbiategrasso,69,2,1,1,37,1,4,1,69,2,45.398733,8.9162299
Côte d'Ivoire,Abidjan,105,3,4,1,15,1,4,1,105,3,5.320357,-4.016107
Mexico,Acuautla,189,4,2,1,9,1,15,1,189,4,20.490278,-98.033611
United States of America,Acworth,64,2,2,1,37,1,8,1,64,2,34.0659329,-84.6768796
United States of America,Adelphi,54,2,1,1,32,1,5,1,54,2,39.0030666,-76.9721023
India,Afzalgarh,198,4,4,1,198,4,3,1,188,4,29.3930355,78.674504
Nigeria,Agbor,139,3,7,1,13,1,5,1,139,3,6.2578135,6.182193
France,Aix En Provence,55,2,1,1,26,1,3,1,55,2,43.5298424,5.4474738
Myanmar,Akyab,145,3,1,1,46,1,0,1,145,3,20.13271,92.87263
United States of America,Alabaster,80,2,1,1,18,1,10,1,80,2,33.2442813,-86.8163773
Russia,Alagir,50,1,1,1,36,1,1,1,50,1,43.039841,44.220451
Belgium,Alken,35,1,1,1,25,1,3,1,35,1,50.8754731,5.3079873
Canada,Alma,55,2,1,1,27,1,0,1,55,2,48.548887,-71.651459
Brazil,Almirante Tamandare,13,1,1,1,12,1,1,1,13,1,-25.3133048,-49.2997838
Spain,Almoradi,48,1,1,1,23,1,3,1,48,1,38.1096615,-0.7919322
Papua New Guinea,Alotau,28,1,0,1,28,1,0,1,13,1,-10.3060931,150.4464005
Germany,Altotting,50,1,1,1,29,1,3,1,50,1,48.2268085,12.6757914
Madagascar,Ambovombe,26,1,0,1,26,1,0,1,20,1,-20.7780568,47.0761439
China,Anqiu,107,3,2,1,107,3,5,1,86,2,36.4794705,119.2129818
Madagascar,Antalaha,22,1,0,1,22,1,0,1,20,1,-14.9012302,50.2810433
United States of America,Antioch,76,2,3,1,7,1,25,1,76,2,38.0049214,-121.805789
Lithuania,Anyksciai,47,1,1,1,32,1,0,1,47,1,55.5257935,25.1061247
Ghana,Apam,104,3,2,1,14,1,1,1,104,3,5.28483,-0.73711
Mexico,Apaseo El Grande,60,2,1,1,16,1,5,1,60,2,20.5455014,-100.687841
Brazil,Aragarcas,32,1,1,1,3,1,2,1,32,1,-15.8957166,-52.2514538
Russia,Arkadak,28,1,1,1,28,1,1,1,15,1,51.942913,43.489098
France,Armentieres,34,1,0,1,28,1,2,1,34,1,50.6867281,2.882169
Russia,Arsk,28,1,1,1,28,1,1,1,19,1,56.0909916,49.8771828
Azerbaijan,Artyom,48,1,1,1,35,1,0,1,48,1,40.47226,50.33304
Armenia,Ashtarak,39,1,1,1,29,1,1,1,39,1,40.2886849,44.3613061
Ethiopia,Asosa,97,2,1,1,14,1,0,1,97,2,10.0646352,34.5437024
Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,75,2,1,1,37,1,0,1,75,2,37.25962,49.94444
India,Atarra,194,4,1,1,44,1,0,1,194,4,24.9585241,79.8971311
Guatemala,Atescatempa,104,3,3,1,5,1,10,1,104,3,14.1762807,-89.7408637
Italy,Atri,57,2,1,1,40,1,3,1,57,2,42.5797836,13.97535
Ukraine,Avdiyivka,41,1,1,1,41,1,3,1,27,1,48.1338824,37.7466719
Portugal,Avintes,37,1,1,1,16,1,7,1,37,1,41.1054014,-8.5507083
Malaysia,Ayer Keroh,59,2,1,1,34,1,0,1,59,2,2.255986,102.2915442
United Kingdom of Great Britain and Northern Ireland,Ayr,29,1,1,1,29,1,2,1,20,1,55.4628044,-4.6302502
Netherlands,Baarn,34,1,0,1,34,1,1,1,26,1,52.2111182,5.2931841
Serbia,Backa Palanka,70,2,1,1,41,1,0,1,70,2,45.2497012,19.3966495
Germany,Bad Langensalza,32,1,0,1,30,1,1,1,32,1,51.1082267,10.6464452
Pakistan,Bahawalnagar,500,6,1,1,38,1,1,1,466,6,29.9935922,73.2527621
South Africa,Balfour,380,6,31,1,1,1,26,1,380,6,-26.658679,28.589806
South Africa,Ballitoville,222,5,12,1,5,1,14,1,222,5,-29.53897,31.21439
Thailand,Ban Phai,52,2,0,1,28,1,0,1,52,2,16.5483199,102.45612
Malaysia,Bandar Penggaram,76,2,1,1,39,1,0,1,76,2,1.8472584,102.9346697
Philippines,Bangued,27,1,0,1,23,1,0,1,27,1,17.5965664,120.6179987
Slovakia,Banovce,59,2,1,1,26,1,2,1,59,2,48.7216671,18.2598263
Germany,Bargteheide,38,1,0,1,28,1,2,1,38,1,53.7279671,10.2618075
United States of America,Bartlesville,56,2,1,1,23,1,6,1,56,2,36.7421089,-95.9528877
Gambia,Basse,127,3,1,1,18,1,0,1,127,3,13.3098082,-14.2131089
Pakistan,Bat Khela,117,3,1,1,117,3,1,1,78,2,34.6134314,71.9677447
Malaysia,Batu Gajah,92,2,2,1,57,2,1,1,92,2,4.470533,101.036989
India,Bazpur,182,4,5,1,170,4,5,1,182,4,29.1612823,79.1538634
Italy,Castel Goffredo,124,3,2,1,32,1,7,1,124,3,45.2952784,10.4729815
Italy,Catanzaro,68,2,2,1,68,2,6,1,57,2,38.9076353,16.5960465
Philippines,Catbalogan,68,2,1,1,26,1,0,1,68,2,11.7753199,124.8829549
Ecuador,Cayambe,39,1,1,1,4,1,2,1,39,1,0.0410644,-78.1429536
Bosnia and Herzegovina,Cazin,50,1,1,1,33,1,0,1,50,1,44.9665348,15.9422388
Italy,Cernusco Sul Naviglio,103,3,1,1,33,1,6,1,103,3,45.5245578,9.330925
Italy,Cesenatico,38,1,1,1,36,1,5,1,38,1,44.1999283,12.3969692
Czechia,Ceske Budejovice,61,2,1,1,38,1,1,1,61,2,48.9747357,14.474285
Argentina,Chacabuco,17,1,0,1,17,1,1,1,17,1,-34.6423582,-60.4708815
Peru,Chachapoyas,21,1,0,1,4,1,0,1,21,1,-6.2293182,-77.8714631
France,Chalon Sur Saone,32,1,1,1,32,1,1,1,20,1,46.7831001,4.8534326
China,Chaoyang,151,4,3,1,119,3,1,1,151,4,41.4947399,120.3847618
Viet Nam,Chau Doc,57,2,1,1,32,1,0,1,57,2,10.7101815,105.1188675
Russia,Cherepanovo,38,1,1,1,38,1,0,1,35,1,54.226101,83.370468
Russia,Cherkessk,49,1,1,1,40,1,0,1,49,1,44.2285229,42.048257
India,Chhabra,171,4,1,1,42,1,0,1,171,4,24.6685519,76.8478646
India,Chilakalurupet,91,2,1,1,28,1,1,1,91,2,16.090385,80.165721
Mexico,Chilpancingo,72,2,2,1,4,1,5,1,72,2,32.5260324,-116.9138081
India,Chipurupalle,153,4,2,1,22,1,6,1,153,4,18.3120723,83.5686458
Poland,Chojnow,59,2,1,1,25,1,2,1,59,2,51.2722138,15.939385448695303
India,Chotila,157,4,0,1,31,1,1,1,157,4,25.8719283,73.1822061
United States of America,Cimarron Hills,73,2,1,1,32,1,2,1,73,2,38.8586088,-104.698864
Brazil,Claudio,71,2,2,1,3,1,6,1,71,2,-20.4448485,-44.7655217
Brazil,Clevelandia,17,1,0,1,17,1,0,1,11,1,-26.404065,-52.3513972
Brazil,Coari,46,1,1,1,2,1,0,1,46,1,-4.0885957,-63.1431166
United Kingdom of Great Britain and Northern Ireland,Coatbridge,35,1,1,1,12,1,9,1,35,1,55.8622848,-4.0273166
Ireland,Cobh,24,1,0,1,24,1,1,1,16,1,51.8487213,-8.3003801
Brazil,Colatina,45,1,1,1,14,1,2,1,45,1,-19.5346732,-40.6287836
Romania,Comanesti,61,2,1,1,40,1,0,1,61,2,46.4216579,26.438008
