country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,lat,lon
Slovakia,Nove Zamky,81,2,1,1,42,1,1,1,81,2,47.9861843,18.1631415
United States of America,Nutley,72,2,2,1,20,1,18,1,72,2,40.8223223,-74.1598663
Mexico,Navolato,68,2,1,1,24,1,3,1,68,2,24.7633,-107.6979734
Zambia,Nchelenge,59,2,1,1,24,1,0,1,59,2,-9.3476333,28.7352607
Central African Republic,Ndele,69,2,2,1,8,1,0,1,69,2,8.4111477,20.648473
Greece,Nea Alikarnassos,78,2,1,1,41,1,1,1,78,2,35.3420927,25.1579088
Russia,Nikolsk,57,2,1,1,36,1,0,1,57,2,59.5304186,45.4585029
United States of America,Morton Grove,63,2,2,1,10,1,22,1,63,2,42.0405857,-87.7825696
Germany,Muhlhausen,57,2,2,1,31,1,6,1,57,2,51.2094255,10.4589044
India,Nagapattinam,64,2,1,1,37,1,0,1,64,2,10.7647952,79.8430779
China,Nanma,115,3,2,1,110,3,2,1,115,3,29.1056611,120.2193982
China,Mianyang,71,2,2,1,71,2,2,1,62,2,31.4602714,104.7160723
South Africa,Midrand,211,5,15,1,12,1,19,1,211,5,-25.999262,28.125912
United States of America,Mishawaka,68,2,2,1,29,1,8,1,68,2,41.6611642,-86.1807031
Poland,Mogilno,44,1,1,1,34,1,1,1,44,1,52.657341,17.9500677
Japan,Moka,59,2,1,1,59,2,1,1,54,2,36.4390901,140.0128896
France,Montesson,70,2,2,1,28,1,5,1,70,2,48.9076421,2.1492681
United States of America,Indiana,85,2,2,1,9,1,33,1,85,2,40.622825,-79.1533097
Japan,Ino,34,1,0,1,34,1,0,1,13,1,33.5456773,133.4284048
Brazil,Itabuna,50,1,1,1,9,1,3,1,50,1,-14.793173,-39.2750341
Brazil,Jaguaruana,25,1,0,1,14,1,0,1,25,1,-4.831508,-37.780997
India,Jaleswar,80,2,2,1,40,1,0,1,80,2,21.8042093,87.2245429
Syrian Arab Republic,Jaramana,167,4,1,1,50,1,0,1,167,4,33.4870787,36.3451784
Brazil,Joanopolis,40,1,1,1,8,1,3,1,40,1,-22.930004,-46.275208
Brazil,Joao Neiva,45,1,1,1,11,1,2,1,45,1,-19.7570307,-40.3856633
India,Kakching,36,1,1,1,17,1,0,1,36,1,24.4974827,93.9835543
Democratic Republic of the Congo,Kindu,160,4,6,1,43,1,1,1,160,4,-2.9493766,25.9184499
United States of America,King Of Prussia,54,2,2,1,27,1,11,1,54,2,40.0908111,-75.3832484
Japan,Kitakami,47,1,1,1,44,1,2,1,47,1,39.2866832,141.1135121
Kenya,Kitui,45,1,1,1,20,1,0,1,45,1,-1.3666,38.0166
South Africa,Knysna,45,1,1,1,15,1,1,1,45,1,-34.035734,23.048485
Russia,Korsakov,27,1,1,1,27,1,0,1,20,1,46.632815,142.7810147
India,Paradwip,132,3,3,1,74,2,1,1,132,3,20.2656000,86.6755000
Brazil,Parnaiba,21,1,0,1,14,1,0,1,21,1,-2.9147515,-41.7661953
