country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category
Russia,Praskoveya,51,2,1,1,36,1,0,1,51,2
Brazil,Presidente Dutra,41,1,1,1,5,1,1,1,41,1
Italy,Priolo Gargallo,66,2,1,1,39,1,2,1,66,2
Poland,Przasnysz,34,1,1,1,34,1,0,1,20,1
France,Punaauia,22,1,0,1,22,1,0,1,6,1
United States of America,Punta Gorda,54,2,1,1,14,1,11,1,54,2
Germany,Puttlingen,62,2,1,1,35,1,3,1,62,2
Belgium,Puurs,64,2,1,1,29,1,7,1,64,2
Russia,Pyatigorsk,54,2,1,1,41,1,1,1,54,2
Egypt,Qalyub,142,3,3,1,89,2,9,1,142,3
China,Qinzhou,68,2,2,1,68,2,1,1,58,2
Netherlands,Raalte,41,1,1,1,24,1,6,1,41,1
India,Radaur,158,4,3,1,139,3,1,1,158,4
Pakistan,Radhan,158,4,1,1,50,1,1,1,158,4
Republic of North Macedonia,Radovis,83,2,1,1,46,1,0,1,83,2
France,Raismes,59,2,1,1,30,1,4,1,59,2
India,Rajgir,154,4,3,1,100,3,2,1,154,4
Italy,Ramacca,55,2,1,1,47,1,0,1,55,2
United States of America,Phoenix,72,2,1,1,4,1,23,1,72,2
India,Phulabani,161,4,2,1,71,2,0,1,161,4
Poland,Piaseczno,28,1,1,1,28,1,2,1,28,1
India,Pimpri,118,3,2,1,30,1,2,1,118,3
Brazil,Pindobacu,33,1,0,1,10,1,1,1,33,1
China,Pingyin,150,4,3,1,95,2,6,1,150,4
Brazil,Pinheiral,154,4,5,1,0,1,13,1,154,4
India,Piravam,81,2,1,1,24,1,1,1,81,2
Colombia,Plato,67,2,1,1,16,1,2,1,67,2
Romania,Poiana Mare,62,2,1,1,37,1,1,1,62,2
Russia,Polevskoy,31,1,1,1,31,1,0,1,17,1
France,Pontarlier,56,2,1,1,35,1,0,1,56,2
United States of America,Pontiac,77,2,2,1,22,1,15,1,77,2
Indonesia,Pontianak,44,1,1,1,15,1,0,1,44,1
Brazil,Porecatu,30,1,1,1,9,1,2,1,30,1
Finland,Pori,30,1,1,1,30,1,1,1,15,1
South Africa,Port Elizabeth,79,2,3,1,18,1,5,1,79,2
United States of America,Port Neches,34,1,1,1,19,1,7,1,34,1
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,2,1,1,20,1,5,1,51,2
United States of America,Portales,77,2,1,1,34,1,0,1,77,2
United States of America,Post Falls,61,2,1,1,32,1,3,1,61,2
Brazil,Pouso Alegre,32,1,1,1,7,1,2,1,32,1
China,Dalinghe,64,2,3,1,64,2,4,1,64,2
Russia,Dalnegorsk,29,1,0,1,29,1,0,1,25,1
United Republic of Tanzania,Dar Es Salaam,51,2,1,1,23,1,0,1,51,2
India,Darbhanga,247,5,3,1,162,4,1,1,247,5
United States of America,Dayton,45,1,1,1,32,1,7,1,45,1
Belgium,Deinze,36,1,1,1,25,1,3,1,36,1
Egypt,Dekernes,81,2,2,1,81,2,4,1,56,2
Haiti,Delmas,124,3,2,1,15,1,5,1,124,3
United States of America,Deming,72,2,1,1,26,1,2,1,72,2
United Kingdom of Great Britain and Northern Ireland,Denton,55,2,0,1,32,1,1,1,55,2
United States of America,Destin,31,1,0,1,31,1,0,1,25,1
Pakistan,Dhadar,157,4,1,1,89,2,0,1,157,4
India,Dharmapuri,60,2,1,1,31,1,1,1,60,2
Pakistan,Digri,153,4,1,1,40,1,0,1,153,4
Somalia,Dinsor,22,1,0,1,19,1,0,1,22,1
Philippines,Dipolog,30,1,1,1,17,1,0,1,30,1
Latvia,Dobele,44,1,1,1,34,1,0,1,44,1
United States of America,Grandville,47,1,1,1,37,1,4,1,47,1
Netherlands,Grave,37,1,0,1,32,1,2,1,37,1
United States of America,Green Valley,44,1,1,1,14,1,8,1,44,1
United States of America,Greendale,58,2,2,1,14,1,24,1,58,2
Poland,Grudziadz,37,1,0,1,33,1,0,1,37,1
Colombia,Guamo,89,2,3,1,3,1,6,1,89,2
Italy,Guardiagrele,52,2,2,1,38,1,7,1,52,2
Chad,Guelengdeng,59,2,2,1,16,1,0,1,59,2
United Kingdom of Great Britain and Northern Ireland,Guildford,51,2,1,1,25,1,6,1,51,2
Philippines,Guiset,66,2,1,1,26,1,1,1,66,2
Russia,Gukovo,38,1,1,1,38,1,0,1,13,1
United States of America,Havre De Grace,34,1,1,1,30,1,7,1,34,1
United States of America,Hazelwood,88,2,2,1,11,1,20,1,88,2
Germany,Heddesheim,54,2,1,1,31,1,3,1,54,2
Germany,Heiligenhaus,44,1,1,1,28,1,3,1,44,1
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,2,1,1,26,1,6,1,51,2
United States of America,Hicksville,67,2,2,1,15,1,23,1,67,2
Brazil,Hidrolandia,42,1,1,1,5,1,2,1,42,1
India,Gyanpur,189,4,2,1,99,2,1,1,189,4
Germany,Haiger,49,1,1,1,25,1,3,1,49,1
China,Hangzhou,203,5,5,1,203,5,5,1,151,4
Germany,Harrislee,35,1,0,1,32,1,0,1,35,1
United States of America,Harrison,90,2,1,1,25,1,2,1,90,2
India,Harur,67,2,1,1,26,1,1,1,67,2
Germany,Hasbergen,36,1,0,1,34,1,1,1,36,1
France,Haubourdin,48,1,1,1,28,1,4,1,48,1
United States of America,Taunton,41,1,1,1,28,1,10,1,41,1
New Zealand,Tauranga,19,1,0,1,19,1,1,1,17,1
Tunisia,Tawzar,73,2,1,1,43,1,0,1,73,2
Viet Nam,Tay Ninh,45,1,0,1,18,1,1,1,45,1
Iran (Islamic Republic of),Taybad,170,4,1,1,43,1,0,1,170,4
Italy,Teano,47,1,1,1,47,1,1,1,36,1
India,Tekkali,155,4,3,1,82,2,1,1,155,4
Brazil,Teodoro Sampaio,46,1,1,1,9,1,1,1,46,1
Mexico,Tepeaca,172,4,5,1,2,1,11,1,172,4
Mexico,Tequila,64,2,1,1,15,1,2,1,64,2
Italy,Teramo,44,1,1,1,44,1,1,1,38,1
Viet Nam,Thai Nguyen,150,4,3,1,150,4,1,1,105,3
China,Tianjin,142,3,4,1,113,3,9,1,142,3
Indonesia,Tidore,21,1,0,1,13,1,0,1,21,1
Romania,Timisoara,47,1,1,1,42,1,0,1,47,1
Tunisia,Tinjah,48,1,1,1,48,1,1,1,29,1
Philippines,Toboso,54,2,1,1,20,1,0,1,54,2
Japan,Tokorozawa,60,2,1,1,44,1,3,1,60,2
Mexico,Toluca,166,4,4,1,8,1,19,1,166,4
Brazil,Itapissuma,27,1,0,1,23,1,1,1,27,1
Brazil,Itarantim,23,1,1,1,7,1,1,1,23,1
Brazil,Itumbiara,31,1,1,1,13,1,0,1,31,1
Mexico,Ixtaczoquitlan,88,2,3,1,13,1,9,1,88,2
El Salvador,Izalco,90,2,2,1,22,1,9,1,90,2
United Republic of Tanzania,Izazi,28,1,1,1,15,1,0,1,28,1
Russia,Izberbash,51,2,1,1,38,1,0,1,51,2
India,Jabalpur,170,4,1,1,38,1,0,1,170,4
Brazil,Jaguaquara,22,1,0,1,9,1,1,1,22,1
India,Jahanabad,168,4,4,1,168,4,1,1,156,4
Bulgaria,Jambol,40,1,1,1,40,1,0,1,32,1
Poland,Jarocin,47,1,1,1,27,1,2,1,47,1
Philippines,Jasaan,59,2,1,1,32,1,0,1,59,2
Nigeria,Ilobu,133,3,4,1,23,1,3,1,133,3
Finland,Imatra,29,1,1,1,29,1,1,1,7,1
Brazil,Indaial,73,2,2,1,2,1,8,1,73,2
Philippines,Indang,50,1,0,1,24,1,0,1,50,1
Brazil,Itagi,25,1,0,1,9,1,1,1,25,1
Nigeria,Iseyin,90,2,3,1,18,1,2,1,90,2
Mexico,Isla,81,2,2,1,26,1,3,1,81,2
Brazil,Itaitinga,29,1,0,1,20,1,1,1,29,1
Brazil,Itambe,21,1,0,1,8,1,1,1,21,1
Brazil,Itapemirim,44,1,1,1,16,1,1,1,44,1
South Sudan,Torit,65,2,1,1,12,1,0,1,65,2
Guatemala,Totonicapan,66,2,2,1,7,1,6,1,66,2
United States of America,Trenton,53,2,1,1,28,1,10,1,53,2
United States of America,Trujillo Alto,56,2,0,1,23,1,0,1,56,2
Ireland,Tullamore,57,2,1,1,26,1,3,1,57,2
Turkey,Tunceli,62,2,0,1,35,1,0,1,62,2
Viet Nam,Tuyen Quang,167,4,4,1,167,4,1,1,107,3
United States of America,Two Rivers,49,1,1,1,27,1,4,1,49,1
United States of America,Tysons Corner,55,2,2,1,25,1,11,1,55,2
Russia,Tyukalinsk,34,1,1,1,34,1,0,1,32,1
India,Udupi,80,2,1,1,25,1,0,1,80,2
India,Umaria,163,4,2,1,92,2,0,1,163,4
United States of America,Willowbrook,126,3,4,1,3,1,36,1,126,3
United States of America,Wilmette,63,2,2,1,9,1,22,1,63,2
United States of America,Wolf Trap,53,2,2,1,27,1,10,1,53,2
United States of America,Woodhaven,86,2,2,1,38,1,10,1,86,2
China,Wulanhaote,47,1,2,1,47,1,0,1,25,1
China,Xiangdong,78,2,2,1,25,1,7,1,78,2
China,Xiaoweizhai,61,2,2,1,61,2,0,1,54,2
China,Xushan,112,3,2,1,44,1,4,1,112,3
Peru,Yanacancha,27,1,0,1,6,1,1,1,27,1
China,Yancheng,155,4,3,1,155,4,2,1,151,4
Democratic Republic of the Congo,Yangambi,121,3,4,1,24,1,0,1,121,3
China,Yanggu,160,4,3,1,138,3,5,1,160,4
China,Yangliuqing,144,3,4,1,109,3,9,1,144,3
China,Yanji,69,2,2,1,48,1,0,1,69,2
United States of America,Yankton,47,1,1,1,34,1,3,1,47,1
Germany,Wenden,69,2,1,1,34,1,4,1,69,2
United States of America,West Carrollton City,84,2,3,1,9,1,24,1,84,2
Belgium,Wetteren,64,2,1,1,32,1,6,1,64,2
Canada,Whitehorse,20,1,1,1,20,1,1,1,10,1
Ireland,Wicklow,38,1,1,1,30,1,3,1,38,1
Switzerland,Wil,59,2,1,1,27,1,3,1,59,2
Germany,Wildeshausen,67,2,1,1,30,1,5,1,67,2
United States of America,Williamsport,75,2,2,1,13,1,16,1,75,2
United States of America,Fox Lake,60,2,2,1,18,1,21,1,60,2
Brazil,Foz Do Iguacu,22,1,1,1,13,1,0,1,22,1
Denmark,Frederikssund,36,1,1,1,36,1,0,1,25,1
United States of America,Friendly,41,1,1,1,30,1,8,1,41,1
Germany,Fuldatal,44,1,1,1,28,1,2,1,44,1
Japan,Furano,29,1,1,1,26,1,1,1,29,1
China,Fuzhou,168,4,3,1,168,4,5,1,99,2
United Kingdom of Great Britain and Northern Ireland,Galashiels,25,1,1,1,25,1,3,1,23,1
Germany,Gangelt,41,1,1,1,26,1,4,1,41,1
Germany,Garbsen,36,1,0,1,33,1,1,1,36,1
Cameroon,Garoua,59,2,2,1,12,1,0,1,59,2
Somalia,Garowe,98,2,0,1,17,1,0,1,98,2
Netherlands,Geertruidenberg,35,1,0,1,33,1,2,1,35,1
Australia,Geraldton,29,1,0,1,29,1,0,1,13,1
Germany,Germersheim,51,2,1,1,29,1,3,1,51,2
Colombia,Girardot,103,3,4,1,9,1,6,1,103,3
Russia,Glubokiy,35,1,1,1,35,1,0,1,17,1
United Kingdom of Great Britain and Northern Ireland,Golborne,35,1,1,1,30,1,4,1,35,1
Portugal,Gondomar,27,1,0,1,27,1,2,1,21,1
Russia,Goryachevodskiy,48,1,1,1,39,1,1,1,48,1
India,Govindgarh,307,6,1,1,45,1,0,1,307,6
Côte d'Ivoire,Grand Lahou,54,2,1,1,25,1,0,1,54,2
United States of America,Hoffman Estates,61,2,2,1,26,1,16,1,61,2
Sweden,Hoganas,36,1,1,1,36,1,1,1,30,1
United States of America,Holly Springs,42,1,1,1,42,1,2,1,37,1
Germany,Holzminden,42,1,0,1,32,1,1,1,42,1
China,Huaicheng,151,4,4,1,45,1,4,1,151,4
Ethiopia,Huruta,102,3,1,1,23,1,0,1,102,3
Nigeria,Idanre,115,3,3,1,24,1,2,1,115,3
Italy,Iglesias,64,2,1,1,53,2,1,1,64,2
Germany,Ihlow,40,1,1,1,30,1,2,1,40,1
Japan,Iizuka,45,1,1,1,45,1,0,1,38,1
Thailand,Sungai Kolok,65,2,1,1,34,1,0,1,65,2
Indonesia,Sungaipenuh,17,1,1,1,13,1,0,1,17,1
Russia,Suvorovskaya,52,2,1,1,39,1,1,1,52,2
Japan,Suzu,69,2,1,1,69,2,1,1,60,2
Poland,Swiecie,44,1,1,1,33,1,1,1,44,1
Hungary,Szeged,50,1,1,1,41,1,1,1,50,1
Hungary,Szerencs,72,2,1,1,42,1,1,1,72,2
Tunisia,Taburbah,49,1,1,1,49,1,1,1,32,1
India,Tadepallegudem,127,3,2,1,65,2,1,1,127,3
Iran (Islamic Republic of),Tafresh,125,3,2,1,125,3,1,1,82,2
Philippines,Tagaytay,41,1,1,1,25,1,1,1,41,1
Japan,Tajimi,52,2,1,1,34,1,3,1,52,2
Japan,Takahagi,47,1,1,1,47,1,1,1,44,1
Japan,Takahashi,36,1,1,1,36,1,3,1,34,1
India,Tal,155,4,1,1,39,1,0,1,155,4
Philippines,Talacogon,37,1,1,1,19,1,0,1,37,1
Russia,Taldom,46,1,1,1,27,1,1,1,46,1
Kazakhstan,Talgar,69,2,1,1,42,1,0,1,69,2
United States of America,Tamiami,64,2,1,1,18,1,12,1,64,2
Israel,Tamra,92,2,2,1,52,2,8,1,92,2
Japan,Tanashi,58,2,1,1,43,1,3,1,58,2
Romania,Tandarei,41,1,1,1,41,1,0,1,38,1
Philippines,Tantangan,35,1,1,1,20,1,0,1,35,1
Indonesia,Tarogong,88,2,2,1,53,2,1,1,88,2
Turkey,Tatvan,45,1,0,1,45,1,0,1,43,1
India,Yaval,102,3,1,1,38,1,0,1,102,3
United Kingdom of Great Britain and Northern Ireland,Yeovil,58,2,1,1,24,1,7,1,58,2
China,Yuanping,143,3,2,1,35,1,5,1,143,3
China,Yuncheng,187,4,2,1,36,1,8,1,187,4
Poland,Zambrow,35,1,1,1,35,1,0,1,17,1
Poland,Zamosc,48,1,1,1,35,1,1,1,48,1
Belgium,Zaventem,58,2,1,1,29,1,6,1,58,2
Belgium,Zemst,65,2,1,1,27,1,8,1,65,2
China,Zhaozhou,73,2,2,1,66,2,0,1,73,2
China,Zhicheng,160,4,4,1,36,1,13,1,160,4
China,Zhongshan,98,2,3,1,33,1,9,1,98,2
China,Zhuji,156,4,4,1,45,1,10,1,156,4
Mexico,Zimatlan,75,2,2,1,9,1,6,1,75,2
Mexico,Zinacantepec,163,4,4,1,8,1,18,1,163,4
Russia,Zmeinogorsk,35,1,1,1,35,1,0,1,21,1
Netherlands,Aalburg,30,1,0,1,30,1,2,1,29,1
Spain,Abaran,47,1,1,1,21,1,2,1,47,1
Italy,Abbiategrasso,69,2,1,1,37,1,4,1,69,2
Côte d'Ivoire,Abidjan,105,3,4,1,15,1,4,1,105,3
Mexico,Acuautla,189,4,2,1,9,1,15,1,189,4
United States of America,Acworth,64,2,2,1,37,1,8,1,64,2
United States of America,Adelphi,54,2,1,1,32,1,5,1,54,2
India,Afzalgarh,198,4,4,1,198,4,3,1,188,4
Nigeria,Agbor,139,3,7,1,13,1,5,1,139,3
France,Aix En Provence,55,2,1,1,26,1,3,1,55,2
Myanmar,Akyab,145,3,1,1,46,1,0,1,145,3
United States of America,Alabaster,80,2,1,1,18,1,10,1,80,2
Russia,Alagir,50,1,1,1,36,1,1,1,50,1
Belgium,Alken,35,1,1,1,25,1,3,1,35,1
Canada,Alma,55,2,1,1,27,1,0,1,55,2
Brazil,Almirante Tamandare,13,1,1,1,12,1,1,1,13,1
Spain,Almoradi,48,1,1,1,23,1,3,1,48,1
Papua New Guinea,Alotau,28,1,0,1,28,1,0,1,13,1
Germany,Altotting,50,1,1,1,29,1,3,1,50,1
Madagascar,Ambovombe,26,1,0,1,26,1,0,1,20,1
China,Anqiu,107,3,2,1,107,3,5,1,86,2
Madagascar,Antalaha,22,1,0,1,22,1,0,1,20,1
United States of America,Antioch,76,2,3,1,7,1,25,1,76,2
Lithuania,Anyksciai,47,1,1,1,32,1,0,1,47,1
Ghana,Apam,104,3,2,1,14,1,1,1,104,3
Mexico,Apaseo El Grande,60,2,1,1,16,1,5,1,60,2
Brazil,Aragarcas,32,1,1,1,3,1,2,1,32,1
Russia,Arkadak,28,1,1,1,28,1,1,1,15,1
France,Armentieres,34,1,0,1,28,1,2,1,34,1
Russia,Arsk,28,1,1,1,28,1,1,1,19,1
Azerbaijan,Artyom,48,1,1,1,35,1,0,1,48,1
Armenia,Ashtarak,39,1,1,1,29,1,1,1,39,1
Ethiopia,Asosa,97,2,1,1,14,1,0,1,97,2
Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,75,2,1,1,37,1,0,1,75,2
India,Atarra,194,4,1,1,44,1,0,1,194,4
Guatemala,Atescatempa,104,3,3,1,5,1,10,1,104,3
Italy,Atri,57,2,1,1,40,1,3,1,57,2
Ukraine,Avdiyivka,41,1,1,1,41,1,3,1,27,1
Portugal,Avintes,37,1,1,1,16,1,7,1,37,1
Malaysia,Ayer Keroh,59,2,1,1,34,1,0,1,59,2
United Kingdom of Great Britain and Northern Ireland,Ayr,29,1,1,1,29,1,2,1,20,1
Netherlands,Baarn,34,1,0,1,34,1,1,1,26,1
Serbia,Backa Palanka,70,2,1,1,41,1,0,1,70,2
Germany,Bad Langensalza,32,1,0,1,30,1,1,1,32,1
Pakistan,Bahawalnagar,500,6,1,1,38,1,1,1,466,6
South Africa,Balfour,380,6,31,1,1,1,26,1,380,6
South Africa,Ballitoville,222,5,12,1,5,1,14,1,222,5
Thailand,Ban Phai,52,2,0,1,28,1,0,1,52,2
Malaysia,Bandar Penggaram,76,2,1,1,39,1,0,1,76,2
Philippines,Bangued,27,1,0,1,23,1,0,1,27,1
Slovakia,Banovce,59,2,1,1,26,1,2,1,59,2
Germany,Bargteheide,38,1,0,1,28,1,2,1,38,1
United States of America,Bartlesville,56,2,1,1,23,1,6,1,56,2
Gambia,Basse,127,3,1,1,18,1,0,1,127,3
Pakistan,Bat Khela,117,3,1,1,117,3,1,1,78,2
Malaysia,Batu Gajah,92,2,2,1,57,2,1,1,92,2
India,Bazpur,182,4,5,1,170,4,5,1,182,4
Italy,Castel Goffredo,124,3,2,1,32,1,7,1,124,3
Italy,Catanzaro,68,2,2,1,68,2,6,1,57,2
Philippines,Catbalogan,68,2,1,1,26,1,0,1,68,2
Ecuador,Cayambe,39,1,1,1,4,1,2,1,39,1
Bosnia and Herzegovina,Cazin,50,1,1,1,33,1,0,1,50,1
Italy,Cernusco Sul Naviglio,103,3,1,1,33,1,6,1,103,3
Italy,Cesenatico,38,1,1,1,36,1,5,1,38,1
Czechia,Ceske Budejovice,61,2,1,1,38,1,1,1,61,2
Argentina,Chacabuco,17,1,0,1,17,1,1,1,17,1
Peru,Chachapoyas,21,1,0,1,4,1,0,1,21,1
France,Chalon Sur Saone,32,1,1,1,32,1,1,1,20,1
China,Chaoyang,151,4,3,1,119,3,1,1,151,4
Viet Nam,Chau Doc,57,2,1,1,32,1,0,1,57,2
Russia,Cherepanovo,38,1,1,1,38,1,0,1,35,1
Russia,Cherkessk,49,1,1,1,40,1,0,1,49,1
India,Chhabra,171,4,1,1,42,1,0,1,171,4
India,Chilakalurupet,91,2,1,1,28,1,1,1,91,2
Mexico,Chilpancingo,72,2,2,1,4,1,5,1,72,2
India,Chipurupalle,153,4,2,1,22,1,6,1,153,4
Poland,Chojnow,59,2,1,1,25,1,2,1,59,2
India,Chotila,157,4,0,1,31,1,1,1,157,4
United States of America,Cimarron Hills,73,2,1,1,32,1,2,1,73,2
Brazil,Claudio,71,2,2,1,3,1,6,1,71,2
Brazil,Clevelandia,17,1,0,1,17,1,0,1,11,1
Brazil,Coari,46,1,1,1,2,1,0,1,46,1
United Kingdom of Great Britain and Northern Ireland,Coatbridge,35,1,1,1,12,1,9,1,35,1
Ireland,Cobh,24,1,0,1,24,1,1,1,16,1
Brazil,Colatina,45,1,1,1,14,1,2,1,45,1
Romania,Comanesti,61,2,1,1,40,1,0,1,61,2
Dominican Republic,Comendador,65,2,1,1,12,1,6,1,65,2
Italy,Como,112,3,1,1,34,1,4,1,112,3
Brazil,Conde,19,1,0,1,19,1,0,1,11,1
United Kingdom of Great Britain and Northern Ireland,Consett,31,1,0,1,31,1,2,1,22,1
United States of America,Cooper City,152,4,4,1,4,1,19,1,152,4
United States of America,Copperas Cove,31,1,1,1,21,1,1,1,31,1
Brazil,Cornelio Procopio,37,1,1,1,12,1,1,1,37,1
Argentina,Corrientes,13,1,1,1,12,1,0,1,13,1
Mexico,Cotija,41,1,1,1,8,1,3,1,41,1
Italy,Crevalcore,103,3,2,1,28,1,9,1,103,3
Azerbaijan,Culfa,52,2,1,1,35,1,0,1,52,2
Spain,Culleredo,30,1,0,1,30,1,2,1,13,1
India,Cuncolim,73,2,0,1,25,1,0,1,73,2
Brazil,Curvelo,42,1,1,1,2,1,4,1,42,1
Germany,Cuxhaven,35,1,0,1,35,1,0,1,30,1
United States of America,Cypress Lake,46,1,1,1,25,1,5,1,46,1
Poland,Czestochowa,93,2,1,1,27,1,4,1,93,2
Guinea,Dalaba,63,2,2,1,13,1,0,1,63,2
Pakistan,Dalbandin,160,4,0,1,39,1,0,1,160,4
France,Beaune,39,1,1,1,26,1,1,1,39,1
United States of America,Bedford,56,2,1,1,18,1,6,1,56,2
Ghana,Begoro,105,3,2,1,13,1,2,1,105,3
China,Beipiao,93,2,2,1,90,2,1,1,93,2
Brazil,Bela Cruz,45,1,0,1,22,1,0,1,45,1
Bolivia (Plurinational State of),Bermejo,54,2,1,1,8,1,1,1,54,2
Germany,Bernburg,36,1,0,1,29,1,2,1,36,1
United States of America,Berwick,50,1,1,1,35,1,5,1,50,1
India,Betma,153,4,1,1,34,1,0,1,153,4
United States of America,Beverly,48,1,1,1,36,1,5,1,48,1
Russia,Bezhetsk,24,1,0,1,24,1,0,1,24,1
Bangladesh,Bhairab Bazar,132,3,3,1,44,1,4,1,132,3
Pakistan,Bhalwal,179,4,3,1,179,4,2,1,166,4
India,Bhimavaram,124,3,1,1,36,1,1,1,124,3
India,Bhinmal,202,5,0,1,34,1,0,1,202,5
India,Bhiwandi,151,4,1,1,26,1,1,1,151,4
Indonesia,Binjai,92,2,2,1,45,1,0,1,92,2
Brazil,Baiao,39,1,1,1,5,1,0,1,39,1
Russia,Baksan,48,1,1,1,39,1,1,1,48,1
Sudan,Bara,52,2,2,1,17,1,0,1,52,2
Colombia,Baranoa,104,3,1,1,16,1,2,1,104,3
Philippines,Baras,51,2,1,1,27,1,1,1,51,2
Iran (Islamic Republic of),Bardsir,91,2,1,1,49,1,0,1,91,2
India,Bari Sadri,167,4,1,1,32,1,0,1,167,4
Thailand,Nong Bua,38,1,0,1,20,1,0,1,38,1
Thailand,Nong Han,57,2,0,1,25,1,0,1,57,2
Netherlands,Noordwijkerhout,41,1,1,1,27,1,5,1,41,1
United States of America,North Andrews Gardens,78,2,1,1,11,1,12,1,78,2
United States of America,Northbridge,47,1,1,1,46,1,2,1,47,1
United Kingdom of Great Britain and Northern Ireland,Norwich,29,1,0,1,29,1,3,1,18,1
Serbia,Novi Becej,60,2,1,1,34,1,1,1,60,2
Netherlands,Nuenen,37,1,1,1,32,1,3,1,37,1
Chile,Nueva Imperial,61,2,2,1,2,1,9,1,61,2
Panama,Nuevo Arraijan,67,2,2,1,20,1,5,1,67,2
Mexico,Nuevo Casas Grandes,46,1,1,1,17,1,2,1,46,1
United States of America,Oak Lawn,79,2,2,1,13,1,27,1,79,2
United States of America,Oakdale,53,2,1,1,24,1,9,1,53,2
Ghana,Obuasi,81,2,1,1,18,1,0,1,81,2
Japan,Odawara,39,1,1,1,38,1,2,1,39,1
Germany,Oer Erkenschwick,34,1,1,1,34,1,2,1,27,1
Republic of North Macedonia,Ohrid,42,1,1,1,41,1,0,1,42,1
Japan,Okawa,41,1,2,1,36,1,5,1,41,1
Poland,Olecko,47,1,1,1,36,1,0,1,47,1
Germany,Olfen,32,1,1,1,27,1,4,1,32,1
Brazil,Olindina,25,1,0,1,6,1,1,1,25,1
Japan,Omagari,35,1,1,1,35,1,0,1,15,1
Netherlands,Oostburg,36,1,1,1,26,1,3,1,36,1
United States of America,Orem,73,2,2,1,26,1,7,1,73,2
United States of America,Orinda,52,2,1,1,22,1,11,1,52,2
Poland,Ostrzeszow,35,1,1,1,32,1,1,1,35,1
Guatemala,Ostuncalco,94,2,3,1,9,1,11,1,94,2
Congo,Ouesso,71,2,3,1,18,1,0,1,71,2
Brazil,Ouro Preto,61,2,2,1,3,1,5,1,61,2
Nigeria,Oyo,80,2,2,1,22,1,1,1,80,2
Kyrgyzstan,Ozgon,101,3,1,1,60,2,0,1,101,3
Italy,Pachino,48,1,1,1,45,1,0,1,48,1
India,Padra,156,4,1,1,33,1,0,1,156,4
Mauritius,Pailles,30,1,0,1,28,1,0,1,30,1
France,Paita,27,1,0,1,27,1,0,1,10,1
India,Palakkodu,57,2,0,1,30,1,0,1,57,2
Philippines,Palo,55,2,1,1,20,1,0,1,55,2
Indonesia,Pamekasan,54,2,1,1,35,1,0,1,54,2
China,Panchiao,69,2,1,1,45,1,4,1,69,2
China,Panshi,76,2,3,1,32,1,2,1,76,2
China,Panzhihua,74,2,3,1,29,1,2,1,74,2
Brazil,Paragominas,36,1,1,1,2,1,0,1,36,1
Brazil,Paraguacu,51,2,1,1,7,1,4,1,51,2
Peru,Paramonga,41,1,1,1,18,1,1,1,41,1
United States of America,Parkville,56,2,1,1,44,1,4,1,56,2
United States of America,Pasadena,58,2,1,1,43,1,5,1,58,2
United States of America,Pataskala,45,1,1,1,32,1,7,1,45,1
Kazakhstan,Pavlodar,50,1,1,1,41,1,0,1,50,1
India,Payyannur,68,2,0,1,24,1,0,1,68,2
United States of America,Pelham,46,1,1,1,46,1,2,1,31,1
Greece,Perama,67,2,1,1,44,1,2,1,67,2
Mexico,Perote,77,2,3,1,7,1,8,1,77,2
Serbia,Petrovaradin,63,2,1,1,33,1,1,1,63,2
Thailand,Phanom Thuan,42,1,0,1,19,1,0,1,42,1
Thailand,Phatthalung,59,2,1,1,27,1,0,1,59,2
Thailand,Phetchaburi,35,1,0,1,17,1,0,1,35,1
India,Phillaur,444,6,2,1,111,3,1,1,391,6
Egypt,Rosetta,60,2,2,1,60,2,3,1,55,2
Italy,Rossano,48,1,1,1,48,1,0,1,12,1
Russia,Rostov,32,1,1,1,32,1,0,1,26,1
United Kingdom of Great Britain and Northern Ireland,Royton,56,2,0,1,32,1,1,1,56,2
Germany,Rudolstadt,32,1,1,1,32,1,1,1,30,1
Czechia,Rumburk,29,1,0,1,29,1,2,1,29,1
Malawi,Rumphi,28,1,0,1,19,1,0,1,28,1
Switzerland,Ruti,34,1,1,1,25,1,2,1,34,1
Brazil,Ruy Barbosa,18,1,0,1,8,1,0,1,18,1
Serbia,Sabac,68,2,1,1,32,1,1,1,68,2
Cuba,Sagua La Grande,89,2,1,1,22,1,1,1,89,2
India,Sahibganj,208,5,3,1,152,4,1,1,208,5
United States of America,Saint Matthews,58,2,2,1,29,1,12,1,58,2
United States of America,Saint Pete Beach,53,2,1,1,40,1,6,1,53,2
Canada,Saint Thomas,35,1,1,1,35,1,3,1,34,1
France,Saint Cyr Sur Loire,37,1,1,1,25,1,2,1,37,1
Belgium,Saint Nicolas,35,1,1,1,32,1,3,1,35,1
France,Saint Quentin,39,1,1,1,25,1,2,1,39,1
Saudi Arabia,Sakakah,122,3,1,1,49,1,0,1,122,3
Japan,Sakurai,40,1,1,1,40,1,2,1,34,1
United Kingdom of Great Britain and Northern Ireland,Salford,58,2,0,1,32,1,1,1,58,2
