country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category
France,Saint Andre,55,2,1,1,27,1,0,1,55,2
Benin,Sakete,70,2,1,1,18,1,1,1,70,2
Russia,Sorsk,39,1,1,1,39,1,0,1,31,1
Armenia,Yeghvard,89,2,1,1,40,1,0,1,89,2
India,Yelbarga,54,2,1,1,28,1,2,1,54,2
China,Yichang,167,4,8,1,18,1,24,1,167,4
Nigeria,Zaria,78,2,2,1,43,1,0,1,78,2
Russia,Zavodoukovsk,39,1,1,1,39,1,0,1,30,1
China,Zhangye,200,4,1,1,32,1,2,1,200,4
China,Zunyi,170,4,8,1,7,1,24,1,170,4
Russia,Zvenigovo,39,1,1,1,32,1,1,1,39,1
India,Abhayapuri,53,2,2,1,42,1,0,1,53,2
Algeria,Aflu,36,1,0,1,36,1,0,1,5,1
United States of America,Shreveport,139,3,1,1,24,1,2,1,139,3
Romania,Sibiu,39,1,1,1,35,1,0,1,39,1
India,Sira,57,2,0,1,21,1,0,1,57,2
Italy,Sorso,45,1,1,1,23,1,5,1,45,1
Brazil,Sao Jose Da Coroa Grande,26,1,0,1,21,1,0,1,26,1
Netherlands,De Lier,35,1,0,1,35,1,2,1,31,1
Germany,Delitzsch,41,1,1,1,30,1,2,1,41,1
Côte d'Ivoire,Divo,52,2,1,1,18,1,0,1,52,2
Netherlands,Doesburg,36,1,0,1,32,1,1,1,36,1
India,Tikamgarh,192,4,1,1,42,1,0,1,192,4
Mexico,Tlaxcala,281,5,4,1,1,1,15,1,281,5
Spain,Tomelloso,31,1,1,1,25,1,2,1,31,1
Russia,Tula,31,1,1,1,31,1,1,1,24,1
India,Umarga,85,2,0,1,26,1,0,1,85,2
India,Upleta,158,4,0,1,26,1,0,1,158,4
Netherlands,Vaals,44,1,1,1,24,1,4,1,44,1
India,Vartej,153,4,0,1,30,1,0,1,153,4
Ukraine,Vatutine,56,2,1,1,39,1,0,1,56,2
Belarus,Vawkavysk,36,1,0,1,36,1,0,1,29,1
,Victoria Point,33,1,0,1,33,1,5,1,30,1
United States of America,Waterford,47,1,1,1,32,1,6,1,47,1
United States of America,Waycross,46,1,1,1,26,1,2,1,46,1
China,Wencheng,88,2,3,1,88,2,1,1,81,2
United Kingdom of Great Britain and Northern Ireland,Weston Super Mare,44,1,1,1,23,1,4,1,44,1
Germany,Wolfratshausen,68,2,1,1,36,1,1,1,68,2
Poland,Wrzesnia,35,1,0,1,32,1,1,1,35,1
Russia,Zadonsk,33,1,1,1,33,1,1,1,21,1
Iran (Islamic Republic of),Zanjan,58,2,1,1,42,1,0,1,58,2
Poland,Zdunska Wola,83,2,2,1,18,1,9,1,83,2
India,Bawana,305,6,3,1,119,3,3,1,305,6
United States of America,Bellevue,40,1,1,1,34,1,5,1,40,1
India,Bina Etawa,176,4,1,1,41,1,0,1,176,4
India,Bodh Gaya,188,4,2,1,119,3,1,1,188,4
Iran (Islamic Republic of),Bojnurd,96,2,1,1,39,1,0,1,96,2
Russia,Botlikh,31,1,1,1,31,1,0,1,25,1
Philippines,Buru Un,53,2,1,1,20,1,0,1,53,2
Burundi,Bururi,97,2,3,1,16,1,1,1,97,2
Portugal,Amadora,34,1,0,1,33,1,3,1,34,1
Philippines,Angono,63,2,1,1,23,1,1,1,63,2
Brazil,Casa Nova,32,1,0,1,13,1,0,1,32,1
United States of America,Conway,78,2,1,1,23,1,4,1,78,2
United States of America,Cutler Ridge,64,2,1,1,14,1,12,1,64,2
Romania,Nasaud,65,2,1,1,35,1,0,1,65,2
Slovakia,Nitra,48,1,1,1,30,1,1,1,48,1
India,Shrigonda,141,3,0,1,28,1,1,1,141,3
Iraq,Sinjar,112,3,1,1,49,1,0,1,112,3
Armenia,Spitak,51,2,1,1,36,1,0,1,51,2
India,Thasra,157,4,1,1,39,1,0,1,157,4
Belgium,Tienen,39,1,1,1,30,1,3,1,39,1
Mexico,Tlacolula,55,2,2,1,8,1,4,1,55,2
United States of America,Sunnyside,34,1,1,1,34,1,1,1,17,1
,Sur,109,3,2,1,45,1,8,1,109,3
Russia,Surgut,34,1,1,1,34,1,0,1,23,1
United States of America,Suwanee,83,2,2,1,12,1,20,1,83,2
Russia,Svetogorsk,39,1,1,1,39,1,1,1,28,1
Mexico,Tampico,34,1,1,1,24,1,2,1,34,1
United States of America,Terrytown,40,1,2,1,38,1,9,1,40,1
Thailand,Thung Song,53,2,0,1,16,1,0,1,53,2
Brazil,Tobias Barreto,25,1,0,1,8,1,1,1,25,1
United States of America,Tracy,52,2,1,1,24,1,11,1,52,2
Japan,Ueki,28,1,1,1,28,1,2,1,24,1
Germany,Ulm,59,2,1,1,35,1,3,1,59,2
Germany,Dingolfing,29,1,0,1,29,1,1,1,26,1
Russia,Dolgoprudnyy,54,2,1,1,26,1,7,1,54,2
Brazil,Maracacume,36,1,1,1,6,1,0,1,36,1
Russia,Khotkovo,36,1,1,1,30,1,2,1,36,1
Germany,Kleinmachnow,37,1,1,1,37,1,1,1,26,1
Thailand,Kanchanaburi,40,1,0,1,19,1,0,1,40,1
Belgium,Kraainem,36,1,1,1,29,1,3,1,36,1
Pakistan,Kunri,167,4,0,1,38,1,0,1,167,4
Colombia,La Virginia,111,3,4,1,1,1,7,1,111,3
United States of America,Mattoon,41,1,1,1,34,1,6,1,41,1
United Republic of Tanzania,Mbekenyera,34,1,0,1,20,1,0,1,34,1
United States of America,Menasha,51,2,2,1,16,1,8,1,51,2
Hungary,Szigetvar,68,2,1,1,36,1,1,1,68,2
Indonesia,Tabanan,39,1,1,1,24,1,0,1,39,1
Peru,Tacna,31,1,1,1,12,1,2,1,31,1
India,Taloda,152,4,0,1,28,1,0,1,152,4
Indonesia,Tarub,86,2,2,1,49,1,0,1,86,2
Mexico,Tecamac,197,4,2,1,13,1,12,1,197,4
Mexico,Teloloapan,54,2,1,1,10,1,5,1,54,2
